"Name","eval/Dice","eval/MAE","eval/mIoU","module.model.prompt_type","module.model.trainable_modules","data_module.data.name","trainer.max_epochs"
"endovis17_box_md+pe__148297","0.7720608092240282","3.10917176605033","0.7206038356464013","box","[""mask_decoder"",""prompt_encoder""]","endovis17","100"
"cholecseg8k_mask_mem__148297","0.8515225178319893","1.701580252883944","0.7932359329148827","mask","[""memory_encoder"",""memory_attention""]","cholecseg8k","0"
"cholecseg8k_box_mem__148297","0.7963164151033859","2.636505569520218","0.7167807573297237","box","[""memory_encoder"",""memory_attention""]","cholecseg8k","0"
"cholecseg8k_point_mem__148297","0.6657546404659386","6.343221291929242","0.5692593975883652","point","[""memory_encoder"",""memory_attention""]","cholecseg8k","0"
"endovis17_mask_mem__148297","0.8169365677274103","2.816798863076039","0.7667959748480646","mask","[""memory_encoder"",""memory_attention""]","endovis17","0"
"endovis17_box_mem__148297","0.8030589392931603","2.8397782911680536","0.7475781060541516","box","[""memory_encoder"",""memory_attention""]","endovis17","0"
"endovis17_point_mem__148297","0.7171776186444973","4.171609225418424","0.6464922329670119","point","[""memory_encoder"",""memory_attention""]","endovis17","0"
"endovis18_mask_mem__148297","0.3871477336747669","4.240771572354609","0.3564123996143052","mask","[""memory_encoder"",""memory_attention""]","endovis18","0"
"endovis18_box_mem__148297","0.3849222137745722","4.390462287605767","0.3511205258388819","box","[""memory_encoder"",""memory_attention""]","endovis18","0"
"endovis18_point_mem__148297","0.3371029320458689","6.740042703984395","0.28908422101760006","point","[""memory_encoder"",""memory_attention""]","endovis18","0"
"cholecseg8k_box_md+pe+ie__148639","0.830822610987936","1.4158598495980126","0.762665244633312","box","[""mask_decoder"",""prompt_encoder"",""image_encoder""]","cholecseg8k","30"
"cholecseg8k_point_md+pe+ie__148640","0.7338251843062357","3.7476017742020886","0.6498471711425834","point","[""mask_decoder"",""prompt_encoder"",""image_encoder""]","cholecseg8k","30"
"cholecseg8k_mask_mem+md+pe+ie__148297","0.8606084263432308","1.2770271242240798","0.8057491721585212","mask","[""memory_encoder"",""memory_attention"",""mask_decoder"",""prompt_encoder"",""image_encoder""]","cholecseg8k","30"
"cholecseg8k_box_mem+md+pe+ie__148641","0.8382234314410606","1.404392350562268","0.769558313770411","box","[""memory_encoder"",""memory_attention"",""mask_decoder"",""prompt_encoder"",""image_encoder""]","cholecseg8k","30"
"cholecseg8k_point_mem+md+pe+ie__148643","0.7353794742824127","4.056946076501253","0.6498625543254017","point","[""memory_encoder"",""memory_attention"",""mask_decoder"",""prompt_encoder"",""image_encoder""]","cholecseg8k","30"
"cholecseg8k_mask_md+pe+ie__148644","0.8577142632694947","1.3092526683616628","0.8024876829443734","mask","[""mask_decoder"",""prompt_encoder"",""image_encoder""]","cholecseg8k","30"
"cholecseg8k_mask_md+pe__148642","0.8547447884559439","1.3564121283405566","0.7987507759079845","mask","[""mask_decoder"",""prompt_encoder""]","cholecseg8k","30"
"cholecseg8k_mask_md__148646","0.8548402393236003","1.3538359928718404","0.7988964532291629","mask","[""mask_decoder""]","cholecseg8k","30"
"cholecseg8k_box_md+pe__148638","0.8146633688929606","1.6169481040812166","0.741222836236527","box","[""mask_decoder"",""prompt_encoder""]","cholecseg8k","30"
"cholecseg8k_box_md__148637","0.814574436648476","1.6181752388067003","0.7410652806910514","box","[""mask_decoder""]","cholecseg8k","30"
"cholecseg8k_point_md+pe__148635","0.7023803769159702","5.197134953574314","0.6137742788224732","point","[""mask_decoder"",""prompt_encoder""]","cholecseg8k","30"
"cholecseg8k_point_md__148645","0.6995130216752233","5.288264060721333","0.6108053694786278","point","[""mask_decoder""]","cholecseg8k","30"
"cholecseg8k_mask_mem+md+pe__148636","0.8589274769681985","1.2521273226893836","0.804315761331986","mask","[""memory_encoder"",""memory_attention"",""mask_decoder"",""prompt_encoder""]","cholecseg8k","30"
"cholecseg8k_mask_mem+md__148634","0.8590287322598897","1.249120182379298","0.8044630566334565","mask","[""memory_encoder"",""memory_attention"",""mask_decoder""]","cholecseg8k","30"
"cholecseg8k_mask_mem__148297","0.859029961543165","1.2248027282183052","0.8041357705626215","mask","[""memory_encoder"",""memory_attention""]","cholecseg8k","30"
"cholecseg8k_box_mem+md+pe__148640","0.81696623810107","1.6192018060413091","0.7446985003960167","box","[""memory_encoder"",""memory_attention"",""mask_decoder"",""prompt_encoder""]","cholecseg8k","30"
"cholecseg8k_box_mem+md__148639","0.8169725667480066","1.6144140096320516","0.7447197872264057","box","[""memory_encoder"",""memory_attention"",""mask_decoder""]","cholecseg8k","30"
"cholecseg8k_box_mem__148644","0.8025438291060686","1.9916217020762024","0.7264748231362845","box","[""memory_encoder"",""memory_attention""]","cholecseg8k","30"
"cholecseg8k_point_mem+md+pe__148641","0.7019950223849347","5.455506696665274","0.6151179814376703","point","[""memory_encoder"",""memory_attention"",""mask_decoder"",""prompt_encoder""]","cholecseg8k","30"
"cholecseg8k_point_mem+md__148643","0.7058250352453765","5.507118570152417","0.618554283895722","point","[""memory_encoder"",""memory_attention"",""mask_decoder""]","cholecseg8k","30"
"cholecseg8k_point_mem__148642","0.6800543677353822","6.412027181410264","0.5860244940032523","point","[""memory_encoder"",""memory_attention""]","cholecseg8k","30"
"endovis17_box_md+pe+ie__148638","0.8481787394504551","1.3265490703839125","0.8019263435691155","box","[""mask_decoder"",""prompt_encoder"",""image_encoder""]","endovis17","30"
"endovis17_point_md+pe+ie__148637","0.8579395787910139","0.6846235202371798","0.8110351750770567","point","[""mask_decoder"",""prompt_encoder"",""image_encoder""]","endovis17","30"
"endovis17_mask_mem+md+pe+ie__148635","0.8257735782117495","2.4052339803370097","0.7788863401931527","mask","[""memory_encoder"",""memory_attention"",""mask_decoder"",""prompt_encoder"",""image_encoder""]","endovis17","30"
"endovis17_box_mem+md+pe+ie__148297","0.8024237000283241","2.854321332092995","0.7550352761482835","box","[""memory_encoder"",""memory_attention"",""mask_decoder"",""prompt_encoder"",""image_encoder""]","endovis17","30"
"endovis17_point_mem+md+pe+ie__148640","0.8252189606138867","1.2885388226204362","0.7784867705528979","point","[""memory_encoder"",""memory_attention"",""mask_decoder"",""prompt_encoder"",""image_encoder""]","endovis17","30"
"endovis17_mask_md+pe+ie__148639","0.8248381363892238","2.454750478684298","0.7790661402855252","mask","[""mask_decoder"",""prompt_encoder"",""image_encoder""]","endovis17","30"
"endovis17_mask_md+pe__148641","0.8183233906266112","2.6187321662448007","0.7705055965470482","mask","[""mask_decoder"",""prompt_encoder""]","endovis17","30"
"endovis17_mask_md__148636","0.819536880913374","2.6233287521584003","0.7719119334417","mask","[""mask_decoder""]","endovis17","30"
"endovis17_box_md__148634","0.7885817821301049","3.003729724303412","0.7373111528440426","box","[""mask_decoder""]","endovis17","30"
"endovis17_point_md+pe__148643","0.7956438444569642","2.754316933899124","0.7421998598442826","point","[""mask_decoder"",""prompt_encoder""]","endovis17","30"
